MS Band Data Logger 2017-3-29
Time Stamp,Band Contact,Skin Temperature(C),Resistivity(Kohms)
00:47:27,WORN,0.000,0
00:47:27,WORN,32.890,0
00:47:29,WORN,32.890,21882
00:47:29,WORN,32.990,21882
00:47:31,WORN,32.990,21882
00:47:35,WORN,32.990,14814
00:47:40,WORN,32.990,14875
00:47:44,WORN,32.990,14937
00:47:48,WORN,32.990,14937
00:47:48,WORN,32.990,14937
00:47:49,WORN,32.990,14340
00:47:55,WORN,32.990,14814
00:47:59,WORN,32.990,16066
00:48:00,WORN,33.120,16066
00:48:04,WORN,33.120,12791
00:48:10,WORN,33.120,12003
00:48:14,WORN,33.120,10702
00:48:19,WORN,33.120,20333
00:48:25,WORN,33.120,17703
00:48:29,WORN,33.120,16579
00:48:30,WORN,33.160,16579
00:48:34,WORN,33.160,16210
00:48:40,WORN,33.160,15855
00:48:44,WORN,33.160,15516
00:48:49,WORN,33.160,291572
00:48:54,WORN,33.160,272066
00:48:59,WORN,33.160,272066
00:49:00,WORN,33.070,272066
00:49:04,WORN,33.070,291572
00:49:09,WORN,33.070,272066
00:49:14,WORN,33.070,254998
00:49:19,WORN,33.070,254998
00:49:24,WORN,33.070,272066
00:49:29,WORN,33.070,272066
00:49:30,WORN,32.820,272066
00:49:34,WORN,32.820,112777
00:49:39,WORN,32.820,127000
00:49:44,WORN,32.820,86149
00:49:49,WORN,32.820,140241
00:49:54,WORN,32.820,96523
00:49:59,WORN,32.820,90022
00:50:00,WORN,32.780,90022
00:50:04,WORN,32.780,84333
00:50:09,WORN,32.780,79313
00:50:14,WORN,32.780,76282
00:50:19,WORN,32.780,72142
00:50:24,WORN,32.780,69620
00:50:29,WORN,32.780,68423
00:50:30,WORN,32.780,68423
00:50:34,WORN,32.780,66147
00:50:39,WORN,32.780,62999
00:50:44,WORN,32.780,59235
00:50:49,WORN,32.780,55109
00:50:54,WORN,32.780,52194
00:50:59,WORN,32.780,50848
00:51:01,WORN,32.800,50848
00:51:04,WORN,32.800,49567
00:51:09,WORN,32.800,48349
00:51:14,WORN,32.800,47188
00:51:19,WORN,32.800,46080
00:51:23,WORN,32.800,44511
00:51:29,WORN,32.800,43521
00:51:31,WORN,32.840,43521
00:51:34,WORN,32.840,42574
00:51:38,WORN,32.840,43042
00:51:44,WORN,32.840,41226
00:51:49,WORN,32.840,39959
00:51:53,WORN,32.840,39156
00:51:59,WORN,32.840,38009
00:52:01,WORN,32.900,38009
00:52:04,WORN,32.900,37280
00:52:08,WORN,32.900,36578
00:52:13,WORN,32.900,35900
00:52:19,WORN,32.900,35247
00:52:23,WORN,32.900,34617
00:52:28,WORN,32.900,33711
00:52:31,WORN,33.000,33711
00:52:34,WORN,33.000,32851
00:52:38,WORN,33.000,31252
00:52:43,WORN,33.000,30030
00:52:49,WORN,33.000,27845
00:52:53,WORN,33.000,27248
00:52:58,WORN,33.000,26675
00:53:01,WORN,33.140,26675
00:53:03,WORN,33.140,26125
00:53:08,WORN,33.140,25771
00:53:13,WORN,33.140,25256
00:53:18,WORN,33.140,24760
00:53:23,WORN,33.140,24441
00:53:28,WORN,33.140,24128
00:53:31,WORN,33.290,24128
00:53:33,WORN,33.290,23674
00:53:38,WORN,33.290,23380
00:53:43,WORN,33.290,22953
00:53:48,WORN,33.290,22540
