asfasfasd
Time Stamp,HR Status,Heart Rate(bpm),RR
00:21:42,LOCKED,70,0.89597
00:21:43,LOCKED,70,0.91256
00:21:43,LOCKED,70,0.91256
00:21:44,LOCKED,70,1.21122
00:21:44,LOCKED,70,1.21122
00:21:45,LOCKED,70,0.99552
00:21:45,LOCKED,69,0.99552
00:21:46,LOCKED,69,0.64709
00:21:46,LOCKED,68,0.64709
00:21:47,LOCKED,68,0.86278
00:21:48,LOCKED,68,0.76323
00:21:48,LOCKED,69,0.76323
00:21:48,LOCKED,69,0.73005
00:21:48,LOCKED,69,0.73005
00:21:50,LOCKED,69,1.04530
00:21:50,LOCKED,70,1.04530
00:21:50,LOCKED,70,0.94574
00:21:50,LOCKED,69,0.94574
00:21:51,LOCKED,69,0.82960
00:21:51,LOCKED,69,0.82960
00:21:52,LOCKED,69,0.96234
00:21:52,LOCKED,69,0.96234
00:21:53,LOCKED,69,0.84619
00:21:54,LOCKED,69,0.68027
00:21:54,LOCKED,69,0.68027
00:21:55,LOCKED,69,0.87938
00:21:55,LOCKED,69,0.87938
00:21:56,LOCKED,69,0.87938
00:21:56,LOCKED,69,0.87938
00:21:56,LOCKED,69,0.84619
00:21:56,LOCKED,68,0.84619
00:21:57,LOCKED,68,0.82960
00:21:57,LOCKED,68,0.82960
00:21:58,LOCKED,68,0.84619
00:21:58,LOCKED,69,0.84619
00:21:59,LOCKED,69,0.84619
00:22:00,LOCKED,69,0.82960
00:22:00,LOCKED,70,0.82960
00:22:01,LOCKED,70,0.81301
00:22:01,LOCKED,70,0.81301
00:22:01,LOCKED,70,0.84619
00:22:01,LOCKED,72,0.84619
00:22:02,LOCKED,72,0.84619
00:22:02,LOCKED,75,0.84619
00:22:03,LOCKED,75,0.73005
00:22:04,LOCKED,75,0.58072
00:22:04,LOCKED,75,0.58072
00:22:04,LOCKED,75,0.43139
00:22:05,LOCKED,75,0.81301
00:22:05,LOCKED,76,0.81301
00:22:05,LOCKED,76,0.29866
00:22:05,LOCKED,76,0.28206
00:22:06,LOCKED,76,0.14933
00:22:06,LOCKED,77,0.14933
00:22:06,LOCKED,77,0.63050
00:22:06,LOCKED,78,0.63050
00:22:07,LOCKED,78,0.74664
00:22:08,LOCKED,78,0.91256
00:22:08,LOCKED,78,0.91256
00:22:08,LOCKED,78,0.91256
00:22:09,LOCKED,78,1.32736
00:22:09,LOCKED,76,1.32736
00:22:10,LOCKED,76,0.89597
00:22:10,LOCKED,76,0.89597
00:22:11,LOCKED,76,0.99552
00:22:11,LOCKED,76,0.99552
00:22:12,LOCKED,76,0.89597
00:22:12,LOCKED,76,0.08296
00:22:12,LOCKED,75,0.08296
00:22:13,LOCKED,75,1.04530
00:22:13,LOCKED,75,1.04530
00:22:14,LOCKED,75,0.81301
00:22:14,LOCKED,75,0.03318
00:22:14,LOCKED,75,0.04978
00:22:14,LOCKED,74,0.04978
00:22:15,LOCKED,74,0.91256
00:22:16,LOCKED,74,0.82960
00:22:16,LOCKED,74,0.82960
00:22:17,LOCKED,74,0.82960
00:22:17,LOCKED,74,0.82960
00:22:17,LOCKED,74,0.74664
00:22:17,LOCKED,74,0.74664
00:22:18,LOCKED,74,0.82960
00:22:18,LOCKED,74,0.82960
00:22:19,LOCKED,74,0.73005
00:22:19,LOCKED,74,0.63050
00:22:19,LOCKED,74,0.63050
00:22:20,LOCKED,74,0.87938
00:22:20,LOCKED,74,0.87938
00:22:21,LOCKED,74,0.91256
00:22:21,LOCKED,74,0.09955
00:22:21,LOCKED,74,0.09955
00:22:22,LOCKED,74,0.61390
00:22:22,LOCKED,74,0.61390
00:22:23,LOCKED,74,0.84619
00:22:23,LOCKED,74,0.84619
00:22:24,LOCKED,74,0.99552
00:22:25,LOCKED,74,0.89597
00:22:25,LOCKED,73,0.89597
00:22:25,LOCKED,73,0.59731
00:22:25,LOCKED,73,0.59731
00:22:26,LOCKED,73,0.59731
00:22:27,LOCKED,73,0.68027
00:22:27,LOCKED,74,0.68027
00:22:27,LOCKED,74,0.59731
00:22:27,LOCKED,71,0.59731
00:22:29,LOCKED,71,0.76323
00:22:29,LOCKED,72,0.76323
00:22:30,LOCKED,72,1.07848
00:22:30,LOCKED,73,1.07848
00:22:31,LOCKED,73,0.82960
00:22:32,LOCKED,73,0.81301
00:22:32,LOCKED,73,0.81301
00:22:33,LOCKED,73,0.97893
00:22:33,LOCKED,73,0.97893
00:22:34,LOCKED,73,0.84619
00:22:34,LOCKED,72,0.84619
00:22:34,LOCKED,72,0.73005
00:22:34,LOCKED,72,0.73005
00:22:35,LOCKED,72,0.79642
00:22:35,LOCKED,72,0.79642
00:22:36,LOCKED,72,0.73005
00:22:37,LOCKED,72,0.82960
00:22:37,LOCKED,72,0.82960
00:22:37,LOCKED,72,0.63050
00:22:37,LOCKED,72,0.63050
00:22:38,LOCKED,72,0.73005
00:22:38,LOCKED,72,0.36502
00:22:38,LOCKED,73,0.36502
00:22:39,LOCKED,73,0.86278
00:22:39,LOCKED,73,0.86278
00:22:40,LOCKED,73,0.92915
00:22:40,LOCKED,73,0.92915
00:22:41,LOCKED,73,0.89597
00:22:41,LOCKED,73,0.89597
00:22:42,LOCKED,73,0.82960
00:22:43,LOCKED,73,0.82960
00:22:43,LOCKED,72,0.82960
00:22:44,LOCKED,72,0.81301
00:22:44,LOCKED,72,0.81301
00:22:44,LOCKED,72,0.82960
00:22:44,LOCKED,71,0.82960
00:22:45,LOCKED,71,0.77982
00:22:45,LOCKED,72,0.77982
00:22:46,LOCKED,72,0.79642
00:22:47,LOCKED,72,0.61390
00:22:47,LOCKED,72,0.61390
00:22:47,LOCKED,72,0.59731
00:22:47,LOCKED,72,0.59731
00:22:48,LOCKED,72,0.79642
00:22:48,LOCKED,74,0.79642
00:22:49,LOCKED,74,1.29418
00:22:49,LOCKED,74,1.29418
00:22:50,LOCKED,74,1.16144
00:22:50,LOCKED,73,1.16144
00:22:51,LOCKED,73,0.92915
00:22:51,LOCKED,72,0.92915
00:22:52,LOCKED,72,0.79642
00:22:52,LOCKED,72,0.79642
00:22:53,LOCKED,72,0.82960
00:22:53,LOCKED,71,0.82960
00:22:54,LOCKED,71,0.76323
00:22:55,LOCKED,71,0.82960
00:22:55,LOCKED,71,0.82960
00:22:55,LOCKED,71,0.87938
00:22:55,LOCKED,72,0.87938
00:22:56,LOCKED,72,0.92915
00:22:56,LOCKED,72,0.92915
00:22:57,LOCKED,72,0.89597
00:22:57,LOCKED,71,0.89597
00:22:58,LOCKED,71,0.87938
00:22:58,LOCKED,71,0.87938
00:22:59,LOCKED,71,0.89597
00:22:59,LOCKED,70,0.89597
00:23:00,LOCKED,70,0.92915
00:23:00,LOCKED,70,0.92915
00:23:01,LOCKED,70,0.92915
00:23:01,LOCKED,69,0.92915
00:23:02,LOCKED,69,0.91256
00:23:02,LOCKED,69,0.91256
00:23:03,LOCKED,69,0.97893
00:23:03,LOCKED,65,0.97893
00:23:04,LOCKED,65,0.96234
00:23:04,LOCKED,65,0.96234
00:23:05,LOCKED,65,0.91256
00:23:06,LOCKED,65,0.92915
00:23:06,LOCKED,64,0.92915
00:23:07,LOCKED,64,0.92915
00:23:07,LOCKED,64,0.92915
00:23:07,LOCKED,64,0.81301
00:23:07,LOCKED,64,0.81301
00:23:08,LOCKED,64,0.86278
00:23:08,LOCKED,65,0.86278
00:23:09,LOCKED,65,0.97893
00:23:09,LOCKED,66,0.97893
00:23:10,LOCKED,66,0.92915
00:23:10,LOCKED,65,0.92915
00:23:11,LOCKED,65,0.87938
00:23:11,LOCKED,65,0.87938
00:23:12,LOCKED,65,0.92915
00:23:12,LOCKED,65,0.92915
00:23:13,LOCKED,65,0.96234
00:23:13,LOCKED,65,0.96234
00:23:14,LOCKED,65,0.97893
00:23:14,LOCKED,65,0.97893
00:23:15,LOCKED,65,0.97893
00:23:15,LOCKED,65,0.97893
00:23:16,LOCKED,65,0.96234
00:23:16,LOCKED,61,0.96234
00:23:17,LOCKED,61,0.97893
00:23:17,LOCKED,64,0.97893
00:23:18,LOCKED,64,0.91256
00:23:18,LOCKED,63,0.91256
00:23:19,LOCKED,63,0.91256
00:23:19,LOCKED,62,0.91256
00:23:20,LOCKED,62,1.01211
00:23:20,LOCKED,62,1.01211
00:23:21,LOCKED,62,0.97893
00:23:21,LOCKED,62,0.69686
00:23:21,LOCKED,62,0.69686
00:23:22,LOCKED,62,0.94574
00:23:22,LOCKED,62,0.94574
00:23:23,LOCKED,62,0.91256
00:23:23,LOCKED,64,0.91256
00:23:24,LOCKED,64,0.97893
00:23:24,LOCKED,64,0.97893
00:23:25,LOCKED,64,0.94574
00:23:25,LOCKED,63,0.94574
00:23:26,LOCKED,63,0.54754
00:23:26,LOCKED,63,0.54754
00:23:27,LOCKED,63,0.92915
00:23:27,LOCKED,63,0.91256
00:23:27,LOCKED,64,0.91256
00:23:28,LOCKED,64,0.34843
00:23:28,LOCKED,64,0.34843
00:23:29,LOCKED,64,1.07848
00:23:29,LOCKED,65,1.07848
00:23:30,LOCKED,65,0.82960
00:23:30,LOCKED,65,0.56413
00:23:30,LOCKED,65,0.56413
00:23:31,LOCKED,65,0.82960
00:23:31,LOCKED,66,0.82960
00:23:32,LOCKED,66,0.81301
00:23:32,LOCKED,66,0.81301
00:23:33,LOCKED,66,0.76323
00:23:33,LOCKED,66,0.76323
00:23:34,LOCKED,66,0.84619
00:23:35,LOCKED,66,0.94574
00:23:35,LOCKED,67,0.94574
00:23:35,LOCKED,67,0.96234
00:23:35,LOCKED,67,0.96234
00:23:36,LOCKED,67,0.92915
00:23:36,LOCKED,67,0.92915
00:23:37,LOCKED,67,0.87938
00:23:37,LOCKED,67,0.87938
00:23:38,LOCKED,67,0.86278
00:23:38,LOCKED,67,0.86278
00:23:39,LOCKED,67,0.94574
00:23:39,LOCKED,68,0.94574
00:23:40,LOCKED,68,1.11166
00:23:40,LOCKED,67,1.11166
00:23:41,LOCKED,67,0.99552
00:23:41,LOCKED,67,0.99552
00:23:42,LOCKED,67,0.97893
00:23:42,LOCKED,67,0.97893
00:23:43,LOCKED,67,1.01211
00:23:43,LOCKED,66,1.01211
00:23:44,LOCKED,66,1.04530
00:23:44,LOCKED,66,1.04530
00:23:45,LOCKED,66,1.04530
00:23:45,LOCKED,65,1.04530
00:23:46,LOCKED,65,0.99552
00:23:46,LOCKED,59,0.99552
00:23:47,LOCKED,59,1.06189
00:23:47,LOCKED,59,1.06189
00:23:48,LOCKED,59,1.04530
00:23:48,LOCKED,58,1.04530
00:23:49,LOCKED,58,1.04530
00:23:49,LOCKED,58,1.04530
00:23:49,LOCKED,58,1.04530
00:23:50,LOCKED,58,1.04530
00:23:50,LOCKED,57,1.04530
00:23:52,LOCKED,57,1.09507
00:23:52,LOCKED,57,1.09507
00:23:53,LOCKED,57,1.04530
00:23:53,LOCKED,57,1.04530
00:23:54,LOCKED,57,1.04530
00:23:54,LOCKED,57,1.04530
00:23:55,LOCKED,57,1.04530
00:23:55,LOCKED,57,1.04530
00:23:56,LOCKED,57,1.07848
00:23:56,LOCKED,56,1.07848
00:23:57,LOCKED,56,1.04530
00:23:57,LOCKED,56,1.04530
00:23:58,LOCKED,56,1.06189
00:23:58,LOCKED,56,1.06189
00:23:59,LOCKED,56,1.09507
00:23:59,LOCKED,56,1.09507
00:24:00,LOCKED,56,1.07848
00:24:00,LOCKED,56,1.07848
00:24:01,LOCKED,56,1.06189
00:24:01,LOCKED,56,1.06189
00:24:02,LOCKED,56,1.04530
00:24:02,LOCKED,56,1.04530
00:24:03,LOCKED,56,1.09507
00:24:03,LOCKED,55,1.09507
00:24:04,LOCKED,55,1.09507
00:24:04,LOCKED,55,1.09507
00:24:04,LOCKED,56,1.09507
00:24:05,LOCKED,56,1.04530
00:24:05,LOCKED,56,1.04530
00:24:07,LOCKED,56,1.07848
00:24:07,LOCKED,55,1.07848
00:24:08,LOCKED,55,1.11166
00:24:08,LOCKED,55,1.11166
00:24:09,LOCKED,55,1.09507
00:24:09,LOCKED,55,1.09507
00:24:10,LOCKED,55,1.09507
00:24:10,LOCKED,54,1.09507
00:24:11,LOCKED,54,1.09507
00:24:11,LOCKED,54,1.09507
00:24:12,LOCKED,54,1.06189
00:24:12,LOCKED,55,1.06189
00:24:13,LOCKED,55,1.07848
00:24:13,LOCKED,55,1.07848
00:24:14,LOCKED,55,1.04530
00:24:14,LOCKED,55,1.04530
00:24:15,LOCKED,55,1.04530
00:24:15,LOCKED,55,1.04530
00:24:16,LOCKED,55,1.04530
00:24:16,LOCKED,55,1.04530
00:24:17,LOCKED,55,1.06189
00:24:17,LOCKED,56,1.06189
00:24:18,LOCKED,56,1.07848
00:24:18,LOCKED,55,1.07848
00:24:18,LOCKED,56,1.07848
00:24:19,LOCKED,56,1.11166
00:24:19,LOCKED,55,1.11166
00:24:21,LOCKED,55,1.09507
00:24:21,LOCKED,55,1.09507
00:24:22,LOCKED,55,1.07848
00:24:22,LOCKED,55,1.07848
00:24:23,LOCKED,55,1.09507
00:24:23,LOCKED,54,1.09507
00:24:24,LOCKED,54,1.06189
00:24:24,LOCKED,55,1.06189
00:24:25,LOCKED,55,1.02870
