asfafs
Time Stamp,Band Contact,Skin Temperature,Resistivity(Kohms)
00:21:43,WORN,33.300,6892
00:21:44,WORN,33.300,6892
00:21:48,WORN,33.300,7110
00:21:51,WORN,33.340,7110
00:21:53,WORN,33.340,7159
00:21:58,WORN,33.340,7175
00:22:03,WORN,33.340,7175
00:22:08,WORN,33.340,5703
00:22:13,WORN,33.340,6327
00:22:18,WORN,33.340,4712
00:22:21,WORN,33.400,4712
00:22:23,WORN,33.400,6474
00:22:28,WORN,33.400,6474
00:22:28,WORN,33.400,6474
00:22:28,WORN,33.400,4285
00:22:33,WORN,33.400,6742
00:22:38,WORN,33.400,6742
00:22:43,WORN,33.400,6713
00:22:48,WORN,33.400,6406
00:22:51,WORN,33.370,6406
00:22:53,WORN,33.370,6275
00:22:58,WORN,33.370,6236
00:23:03,WORN,33.370,6185
00:23:08,WORN,33.370,6098
00:23:13,WORN,33.370,6135
00:23:18,WORN,33.370,6160
00:23:21,WORN,33.340,6160
00:23:23,WORN,33.340,6025
00:23:28,WORN,33.340,6135
00:23:33,WORN,33.340,5977
00:23:38,WORN,33.340,5803
00:23:43,WORN,33.340,5884
00:23:48,WORN,33.340,5826
00:23:51,WORN,33.340,5826
00:23:53,WORN,33.340,5838
00:23:58,WORN,33.340,5803
00:24:03,WORN,33.340,5792
00:24:08,WORN,33.340,5781
00:24:13,WORN,33.340,5747
00:24:18,WORN,33.340,5747
00:24:21,WORN,33.360,5747
00:24:23,WORN,33.360,5714
00:24:28,WORN,33.360,5703
00:24:33,WORN,33.360,5692
00:24:38,WORN,33.360,5671
00:24:43,WORN,33.360,5714
00:24:48,WORN,33.360,5714
00:24:52,WORN,33.380,5714
00:24:53,WORN,33.380,5681
00:24:58,WORN,33.380,5714
00:25:03,WORN,33.380,5660
00:25:08,WORN,33.380,5627
00:25:13,WORN,33.380,5649
00:25:18,WORN,33.380,5606
00:25:22,WORN,33.380,5606
00:25:23,WORN,33.380,5585
00:25:28,WORN,33.380,5595
00:25:33,WORN,33.380,5543
00:25:38,WORN,33.380,5532
00:25:43,WORN,33.380,5543
00:25:48,WORN,33.380,5491
00:25:52,WORN,33.410,5491
00:25:53,WORN,33.410,5481
00:25:58,WORN,33.410,5491
00:26:02,WORN,33.410,5440
00:26:07,WORN,33.410,5420
00:26:12,WORN,33.410,5440
00:26:17,WORN,33.410,5410
00:26:22,WORN,33.480,5410
00:26:22,WORN,33.480,5370
00:26:27,WORN,33.480,5380
00:26:32,WORN,33.480,5380
00:26:37,WORN,33.480,5330
00:26:42,WORN,33.480,5320
00:26:47,WORN,33.480,5330
00:26:52,WORN,33.560,5330
00:26:52,WORN,33.560,5291
00:26:57,WORN,33.560,5272
00:27:02,WORN,33.560,5262
00:27:07,WORN,33.560,5262
00:27:12,WORN,33.560,5224
00:27:17,WORN,33.560,5215
00:27:22,WORN,33.640,5215
00:27:22,WORN,33.640,5224
00:27:27,WORN,33.640,5206
00:27:32,WORN,33.640,5159
00:27:37,WORN,33.640,5150
00:27:42,WORN,33.640,5159
00:27:47,WORN,33.640,5131
00:27:52,WORN,33.730,5131
00:27:52,WORN,33.730,5104
00:27:57,WORN,33.730,5095
00:28:02,WORN,33.730,5104
00:28:07,WORN,33.730,5077
00:28:12,WORN,33.730,5041
00:28:17,WORN,33.730,5041
00:28:22,WORN,33.730,5041
00:28:22,WORN,33.820,5041
00:28:27,WORN,33.820,4997
00:28:32,WORN,33.820,4988
00:28:37,WORN,33.820,4979
00:28:42,WORN,33.820,4970
00:28:47,WORN,33.820,4936
00:28:52,WORN,33.820,4927
00:28:52,WORN,33.890,4927
00:28:57,WORN,33.890,4910
00:29:02,WORN,33.890,4919
00:29:07,WORN,33.890,4885
00:29:12,WORN,33.890,4868
00:29:17,WORN,33.890,4859
00:29:22,WORN,33.890,4868
00:29:22,WORN,33.980,4868
00:29:27,WORN,33.980,4851
00:29:32,WORN,33.980,4818
00:29:37,WORN,33.980,4801
00:29:42,WORN,33.980,4809
00:29:47,WORN,33.980,4793
00:29:52,WORN,33.980,4760
00:29:52,WORN,34.050,4760
00:29:57,WORN,34.050,4744
00:30:02,WORN,34.050,4736
00:30:07,WORN,34.050,4736
00:30:12,WORN,34.050,4728
00:30:16,WORN,34.050,4696
00:30:22,WORN,34.050,4680
00:30:22,WORN,34.110,4680
00:30:26,WORN,34.110,4673
00:30:31,WORN,34.110,4680
00:30:36,WORN,34.110,4665
00:30:41,WORN,34.110,4634
00:30:46,WORN,34.110,4618
00:30:51,WORN,34.110,4603
00:30:52,WORN,34.200,4603
00:30:56,WORN,34.200,4603
00:31:01,WORN,34.200,4603
00:31:06,WORN,34.200,4587
00:31:11,WORN,34.200,4557
00:31:16,WORN,34.200,4542
00:31:21,WORN,34.200,4535
00:31:23,WORN,34.270,4535
00:31:26,WORN,34.270,4535
00:31:31,WORN,34.270,4527
00:31:36,WORN,34.270,4512
00:31:41,WORN,34.270,4475
00:31:46,WORN,34.270,4461
00:31:51,WORN,34.270,4454
00:31:53,WORN,34.320,4454
00:31:56,WORN,34.320,4468
00:32:01,WORN,34.320,4454
00:32:06,WORN,34.320,4425
00:32:11,WORN,34.320,4403
00:32:16,WORN,34.320,4389
00:32:21,WORN,34.320,4382
00:32:23,WORN,34.370,4382
00:32:26,WORN,34.370,4389
00:32:31,WORN,34.370,4382
00:32:36,WORN,34.370,4361
00:32:41,WORN,34.370,4333
00:32:46,WORN,34.370,4326
00:32:51,WORN,34.370,4312
00:32:53,WORN,34.430,4312
00:32:56,WORN,34.430,4319
00:33:01,WORN,34.430,4319
00:33:06,WORN,34.430,4305
00:33:11,WORN,34.430,4285
00:33:16,WORN,34.430,4264
00:33:21,WORN,34.430,4251
00:33:23,WORN,34.460,4251
00:33:26,WORN,34.460,4237
00:33:31,WORN,34.460,4237
00:33:36,WORN,34.460,4237
00:33:41,WORN,34.460,4224
00:33:46,WORN,34.460,4211
00:33:51,WORN,34.460,4184
00:33:53,WORN,34.480,4184
00:33:56,WORN,34.480,4178
00:34:01,WORN,34.480,4165
00:34:06,WORN,34.480,4165
00:34:11,WORN,34.480,4165
00:34:16,WORN,34.480,4152
00:34:21,WORN,34.480,4132
00:34:23,WORN,34.530,4132
00:34:26,WORN,34.530,4113
00:34:30,WORN,34.530,4100
00:34:35,WORN,34.530,4094
00:34:40,WORN,34.530,4081
00:34:45,WORN,34.530,4088
00:34:50,WORN,34.530,4081
00:34:53,WORN,34.560,4081
00:34:55,WORN,34.560,4063
00:35:00,WORN,34.560,4038
00:35:05,WORN,34.560,4031
00:35:10,WORN,34.560,4019
00:35:15,WORN,34.560,4007
00:35:20,WORN,34.560,3995
00:35:23,WORN,34.620,3995
00:35:25,WORN,34.620,3995
00:35:30,WORN,34.620,3982
00:35:35,WORN,34.620,3970
00:35:40,WORN,34.620,3946
00:35:45,WORN,34.620,3940
00:35:50,WORN,34.620,3929
00:35:53,WORN,34.650,3929
00:35:55,WORN,34.650,3917
00:36:00,WORN,34.650,3923
00:36:05,WORN,34.650,3917
00:36:10,WORN,34.650,3899
00:36:15,WORN,34.650,3882
00:36:20,WORN,34.650,3864
00:36:23,WORN,34.690,3864
00:36:25,WORN,34.690,3853
00:36:30,WORN,34.690,3847
00:36:35,WORN,34.690,3835
00:36:40,WORN,34.690,3830
00:36:45,WORN,34.690,3835
00:36:50,WORN,34.690,3830
00:36:53,WORN,34.750,3830
00:36:55,WORN,34.750,3818
00:37:00,WORN,34.750,3801
00:37:05,WORN,34.750,3785
00:37:10,WORN,34.750,3779
00:37:15,WORN,34.750,3768
00:37:20,WORN,34.750,3762
00:37:24,WORN,34.780,3762
00:37:25,WORN,34.780,3762
00:37:30,WORN,34.780,3757
00:37:35,WORN,34.780,3746
00:37:40,WORN,34.780,3735
00:37:45,WORN,34.780,3713
00:37:50,WORN,34.780,3708
00:37:54,WORN,34.820,3708
00:37:55,WORN,34.820,3697
00:38:00,WORN,34.820,3691
00:38:05,WORN,34.820,3681
00:38:10,WORN,34.820,3670
00:38:15,WORN,34.820,3670
00:38:20,WORN,34.820,3665
00:38:24,WORN,34.850,3665
00:38:25,WORN,34.850,3654
00:38:30,WORN,34.850,3643
00:38:35,WORN,34.850,3628
00:38:40,WORN,34.850,3617
00:38:45,WORN,34.850,3607
00:38:49,WORN,34.850,3602
00:38:54,WORN,34.890,3602
00:38:54,WORN,34.890,3597
00:38:59,WORN,34.890,3586
00:39:04,WORN,34.890,3591
00:39:09,WORN,34.890,3586
00:39:14,WORN,34.890,3576
00:39:19,WORN,34.890,3571
00:39:24,WORN,34.920,3571
00:39:24,WORN,34.920,3556
00:39:29,WORN,34.920,3535
00:39:34,WORN,34.920,3530
00:39:39,WORN,34.920,3525
00:39:44,WORN,34.920,3511
00:39:49,WORN,34.920,3506
00:39:54,WORN,34.940,3506
00:39:54,WORN,34.940,3506
00:39:59,WORN,34.940,3501
00:40:04,WORN,34.940,3496
00:40:09,WORN,34.940,3481
00:40:14,WORN,34.940,3476
00:40:19,WORN,34.940,3457
00:40:24,WORN,34.980,3457
00:40:24,WORN,34.980,3452
00:40:29,WORN,34.980,3442
00:40:34,WORN,34.980,3437
00:40:39,WORN,34.980,3428
